Straße ;Planquadrat ;Datum der Benennung;Informationen zur Benennung 
Im Appensee ;B-C 7-8 ;01. Jan 77;Gewannbezeichnung nach einem Feuchtgebiet 
Hegelstraße ;B-C 8 ;01. Jan 77;Benannt nach Georg Wilhelm Friedrich Hegel (17701831),Philosoph, Hauptvertreter des Deutschen Idealismus. 
Merianstraße ;B-C 8 ;01. Jan 77;Benannt nach der schweizer Künstlerfamilie Merian: Matthäus der Ältere (1593-1650) schuf als Kupferstecher die große Städtebildersammlung 'Topographien', die sein Sohn Matthäus der Jüngere (1621-1687) fortsetzte. Dessen Schwester Maria Sibylla (1647-1717), illustrierte ihre naturwissenschaftlichen Werke. 
In der Hahnhecke ;B-C 8-9 ;01. Jan 77;Benennung nach dem Walddistrikt 'Hahnhecke' 
Prinzenschneise ;B-C 9-11 ;24. Mai 74;Stadtteil Arheilgen, benannt nach Prinz Ludwig von Hessen-Darmstadt. 
Kranichsteiner Straße ;B-J 8-14 ;Benennung 1824 ;Benannt nach dem Stadtteil Kranichstein, führt zum Jagdschloß Kranichstein. 
Am Sportplatz ;C 6 ;Benennung 1977 ;Stadtteil Wixhausen,Benenung nach dem dort vorhandenen Sportgelände des TSG Wixhausen 
Auwiesenweg ;C 7 ;01. Jan 77;Stadtteil Wixhausen, benannt nach einem sumpfigen Wiesenstück. 
Bahnhofstraße ;C 7 ;01. Jan 77;Benannt nach dem ehemaligen Bahnhof. 
Brückengasse ;C 7 ;01. Jan 77;Benennung nach der Brücke über den dortigen 'Apfelbach' (Sülzbach) 
Falltorstraße ;C 7 ;01. Jan 77;Stadtteil Wixhausen, alte Flurbezeichnung die darauf hinweist, dass die Straße früher zu einem Falltor führte. 
Freystraße ;C 7 ;01. Jan 77;Benennung nach dem ehem. Wixhäuser Bürgermeister Johannes Peter Frey (1834-1907). 
Göthsbachstraße ;C 7 ;01. Jan 77;Stadtteil Wixhausen, Benennung nach dem im Volksmund als Göthsbach bezeichneten Bachlauf des Apfelbaches. 
In den Bornwiesen ;C 7 ;01. Jan 77;Gewannbezeichnung, 'Born' bedeutet 'Quelle' oder 'Brunnen' 
In den Niederwiesen ;C 7 ;01. Jan 77;Benennung nach den tiefer gelegenen Wiesen westl. von Wixhausen 
Körnerstraße ;C 7 ;01. Jan 77;Benannt nach Theodor Körner (1791-1813), Dichter 
Ludwig-Thoma-Straße ;C 7 ;01. Jan 77;Stadtteil Wixhausen, benannt nach Ludwig Thoma (18671921), Schriftsteller u. Dichter. 
Ostendstraße ;C 7 ;01. Jan 77;Hier lag früher die Ostgrenze der alten Gemeinde Wixhausen. 
Rebusgasse ;C 7 ;01. Jan 77;Die Namensgebung ist nicht eindeutig geklärt. 
Robert-Stolz-Straße ;C 7 ;01. Jan 77;Benannt nach Professor Robert Stolz (1880-1975), österreichischer Operettenkomponist. 
Behringstraße ;C 7-8 ;01. Jan 77;Benannt nach Emil von Behring (1854-1917), Arzt und Forscher. 
Brucknerstraße ;C 7-8 ;01. Jan 77;Benannt nach Prof. Anton Bruckner (1824-1896), Komponist. 
Hindemithstraße ;C 7-8 ;01. Feb 78;Stadtteil Wixhausen,benannt nach Paul Hindemith (18951963), Komponist 
In den Wingerten ;C 7-8 ;01. Jan 77;Benennung nach der Gewann 'Weingärten' 
Lortzingstraße ;C 7-8 ;01. Jan 77;Stadtteil Wixhausen, benannt nach Albert Lortzing (18011851), Opernkomponist. 
Orffweg ;C 7-8 ;01. Jan 77;Benannt nach Carl Orff (1895-1982), Komponist u. Musikpädagoge. 
Am Alten Grenzgraben ;C 8 ;01. Jan 77;Gewannbezeichnung nach einem Grenzgraben im Nordwesten von Arheilgen. 
Am Hasenpfad ;C 8 ;01. Jan 77;Gewannbezeichnung nach dem Nagetier. 
Am Oberen Michelfeld ;C 8 ;;Stadtteil Arheilgen, Benennung nach einer ehemaligen Feldgemarkung, wobei 'Michelfeld' 'großes Feld' bedeutet. 
Bert-Brecht-Straße ;C 8 ;01. Jan 77;Benannt nach Eugen Berthold Friedrich Brecht (18981956), bedeutender Dramatiker u. Lyriker. 
Brehmstraße ;C 8 ;01. Jan 77;Benannt nach Alfred Edmund Brehm (1829-1884), Zoologe, Verfasser des bekannten Werkes 'Tierleben'. 
Dompfaffweg ;C 8 ;03. Aug 88;Stadtteil Wixhausen, Benennung nach dem Finkenvogel Dompfaff 
Händelstraße ;C 8 ;01. Jan 77;Benennung nach Georg Friedrich Händel (1685-1759), Komponist, Barockmusiker 
Meisenweg ;C 8 ;01. Jan 77;Benannt nach dem Singvogel Meise. 
Messeler-Park-Straße ;C 8-9 ;01. Jan 77;Benannt nach einem Waldstück west. von Messel. 
Planckstraße ;C 9-10 ;24. Mai 72;Stadtteil Arheilgen, benannt nach Professor Max Planck (1858-1947),Physiker u. Naturforscher, Nobelpreisträger für Physik. 
Auf der Sommeraue ;D 6-7 ;;Stadtteil Arheilgen, Flurbezeichnung, die sich auf die schöne sonnige Lage und den Wasserreichtum dieser Flur bezog. 
Borsigstraße ;D 6-7 ;Benennung 1984 ;Stadtteil Arheilgen, Benennung nach Johann Friedrich August Borsig (1804-1854), Industieller u. Erbauer der ersten deutschen Lokomotive 
Eulerweg ;D 7 ;21. Jul 76;Stadtteil Arheilgen, benannt nach Leonhard Euler (17071783), Schweizer Mathematiker,Physiker und Astronom. 
Guerickeweg ;D 7 ;;Stadtteil Arheilgen,benannt nach Otto von Guericke (1602-1686), Physiker u. Erfinder 
Henriette-Sennhenn-Straße ;D 7 ;24. Apr 02;Stadtteil Arheilgen, benannt nach Dr. Henriette Sennhenn(1919-1996), Arheilger Ärztin u. Bundesverdienstkreuzträgerin. 
Hertlingstraße ;D 7 ;24. Apr 02;Stadtteil Arheilgen, benannt nach Georg Graf von Hertling (1843-1919) Darmstädter, Deutscher Reichskanzler von 1917-1918 
Herzbergweg ;D 7 ;24. Apr 02;Stadtteil Arheilgen, benannt nach Prof. Gerhard Herzberg ( 1904-1999), Nobelpreisträger für Chemie, Dozent a. d. TH DA 
Im Elsee ;D 7 ;;Stadtteil Arheilgen, Benennung nach einem stehenden Gewässer. 
Karoline-Balser-Weg ;D 7 ;24. Apr 02;Stadtteil Arheilgen, benannt nach Karoline Balser (18731928) Stadtverordnete u. Landtagsabgeordnete, Verfechterin der Frauenrechte. 
Lily-Pringsheim-Weg ;D 7 ;24. Apr 02;Stadtteil Arheilgen, Benennung nach Lily Pringsheim (1887-1954), Landtagsabgeordnete u. Widerstandskämpferin 
Ottilie-Rady-Weg ;D 7 ;24. Apr 02;Stadtteil Arheilgen, benannt nach Prof. Ottilie Rady ( 1890 1987) Dozentin f. Kunstgeschichte an d. TH Darmstadt. 
Ottoweg ;D 7 ;21. Jul 76;Stadtteil Arheilgen, benannt nach Nikolaus August Otto (1832-1891), Ingenieur u. Erfinder des Viertaktmotors. 
Raiffeisenstraße ;D 7 ;03. Apr 68;Stadtteil Arheilgen, benannt nach Friedrich Wilhelm Raiffeisen (1818-1888), Sozialreformer, Gründer der ländlichen Darlehenskassen 
Röntgenstraße ;D 7 ;21. Jul 76;Stadtteil Arheilgen,benannt nach Prof. Dr. Wilhelm Konrad Röntgen (1845-1923), Physiker, Entdecker der Röntgenstrahlung, erhielt den erstmals verliehenen Nobelpreis für Physik. 
Aumühlenweg ;D 8 ;19. Feb 69;Stadtteil Arheilgen,Benennung nach einer ehem. Mühle an der Silz 
Dianastraße ;D 8 ;26. Jun 53;Stadtteil Arheilgen, benannt nach der Dianaburg, einem ehemaligen Jagdpavillon von Landgraf Ludwig VIII. 
Dreieichweg ;D 8 ;19. Feb 69;Stadtteil Arheilgen, Benennung nach dem früheren Wildbann Dreieich. 
Fröbelweg ;D 8 ;19. Feb 69;Stadtteil Arheilgen, benannt nach Friedrich Wilhelm August Fröbel (1782-1852), Pädagoge, richtete den ersten deutschen Kindergarten in Bad Blankenburg ein. 
Glockengartenweg ;D 8 ;19. Feb 69;Stadtteil Arheilgen, benannt nach einem früher hier befindl. Kirchenbesitz 
Greinstraße ;D 8 ;03. Apr 68;Stadtteil Arheilgen, benannt nach Karl Grein (18811957), Oberkirchenrat und Pfarrer in Arheilgen 
Kettenwiesenstraße ;D 8 ;26. Jun 53;Stadtteil Arheilgen,benannt nach einem fruchtbaren Wiesengelände. 
Kolpingweg ;D 8 ;26. Aug 70;Stadtteil Arheilgen, benannt nach Adolf Kolping (18131865), Gründer der Kath. Gesellenvereine 
Liesjeweg ;D 8 ;07. Feb 07;Benannt nach Georg Benz (1901-1989), arheilger Mundartdichter, bekannt als 'Oarhelljer Liesje' 
Kalkofenweg ;D 8-10 ;26. Jun 53;Stadtteil Arheilgen, benannt nach dem ehem. fürstlichen Kalkofen. 
Bahnstraße ;D-E 7 ;;Stadtteil Arheilgen, so benannt, da die Straße parallel der Bahnlinie DA/Ffm verläuft. 
Lessingstraße ;D-E 7 ;26. Jun 53;Stadtteil Arheilgen, benannt nach Gotthold Ephraim Lessing (1729-1781), Dichter, Kritiker u. freier Schriftsteller. 
Lönsstraße ;D-E 7 ;26. Jun 53;Stadtteil Arheilgen, benannt nach Hermann Löns (18661914), Schriftsteller u. Dichter. 
Böcklerstraße ;D-E 7-8 ;26. Jun 53;Stadtteil Arheilgen, benannt nach Hans Böckler (18751951), Sozialpolitiker u. 1. Vorsitzender des Deutschen Gewerkschaftsbundes. 
Lindenweg ;D-E 7-8 ;;Stadtteil Arheilgen, benannt nach den Lindenbäumen, die früher hier standen. 
Felchesgasse ;D-E 8 ;26. Jun 53;Stadtteil Arheilgen, Benennung nach der Gewannbezeichnung 'Feldchen die' kleines Feld' bedeutet. 
Obere Mühlstraße ;D-E 8 ;;Stadtteil Arheilgen, benannt nach der Mühle zu der sie führt. 
Rathausstraße ;D-E 8 ;;Stadtteil Arheilgen, benannt nach dem ersten Arheilger Rathaus, das 1589 errichtet wurde. 
Rodgaustraße ;D-E 9-10 ;09. Dez 70;Stadtteil Arheilgen, benannt nach der Landschaft Rodgau, nordöstl. von Darmstadt. 
Eckhardwiesenstraße ;E 10 ;;Stadtteil Arheilgen, Benennung nach einer Gewannbezeichnung, deren Ursprung vermutl. im Namen eines Dorfbewohners hat. 
Altheimweg ;E 7 ;12. Dez 73;Stadtteil Arheilgen, benannt nach Georg Altheim (1863-1928), Landschaftsmaler. 
Am Brombeerberg ;E 7 ;11. Nov 92;Stadtteil Arheilgen, Gewannbezeichnung nach einer Sanddüne an der viele Brombeersträucher wuchsen 
Asternweg ;E 7 ;11. Nov 92;Stadtteil Arheilgen,Benennung nach der sternförmigen Blume 
Blütenallee ;E 7 ;11. Nov 92;Stadtteil Arheilgen, Benennung nach den zu beiden Seiten der Straße im Frühjahr blühenden Bäumen. 
Dahlienweg ;E 7 ;11. Nov 92;Stadtteil Arheilgen,Benennung nach der subtropischen Blume Dahlie 
Leißersteg ;E 7 ;10. Dez 97;Benannt nach Heinrich Leißer (1850-1929), Bekanntester Schrankenwärter Arheilgens 
Lupinenweg ;E 7 ;11. Nov 92;Stadtteil Arheilgen,benannt nach der Beetpflanze Lupine. 
Malvenweg ;E 7 ;11. Nov 92;Stadtteil Arheilgen, benannt nach der Gartenzierpflanze Malve. 
Nelkenweg ;E 7 ;11. Nov 92;Stadtteil Arheilgen,benannt nach der Zierpflanze Nelke. 
Ettesterstraße ;E 7-8 ;12. Dez 73;Stadtteil Arheilgen, Benennung nach der verschwundenen mittelalterlichen Siedlung'Ötterstadt',südl. von Weiterstadt. 
Fohrstraße ;E 7-8 ;01. Feb 78;Stadtteil Arheilgen, benannt nachCarl Philipp Fohr (17951818), Darmstädter Landschaftsmaler 
Fritz-Meister-Anlage ;E 7-8 ;05. Jul 89;Stadtteil Arheilgen,Benennung nach dem Arheilger sozialdemokraten u. Widerstandtkämpfer gegen die Nationalsozialisten Fritz Meister (1902-1939) 
Hoelscherweg ;E 7-8 ;01. Feb 78;Stadtteil Arheilgen, benannt nach Prof. Richard Hoelscher (1867-1943), hess. Maler, Zeichenlehrer u. Professor in Darmstadt. 
Jungfernstraße ;E 7-8 ;;Stadtteil Arheilgen,Benennung vermutlich nach den Nonnen des Arheilger Liebfrauen-Nonnenklosters. 
Kneippstraße ;E 7-8 ;12. Dez 73;Stadtteil Arheilgen,benannt nach Pfarrer Sebastian Kneipp (1821-1897),katholischer Geistlicher, Naturheilkundler, Begründer der Wasserheilkunde. 
Römerstraße ;E 7-8 ;12. Dez 73;Stadtteil Arheilgen,benannt nach Johannes Römer (18071892), Oberlehrer in Arheilgen. 
Albrechtstraße ;E 8 ;29. Okt 59;Stadtteil Arheilgen,Benennung erfolgte auseiner Vorschlagsliste der Arh. Bezirksverwaltung mit insges. 4 Vornamen. 
Arheilger Kirchgasse ;E 8 ;29. Okt 59;Stadtteil Arheilgen, Benennung nach der Evangelischen Kirche in der Messeler Str. 
Aron-Reinhard-Straße ;E 8 ;;Stadtteil Arheilgen, benannt nach Aron Reinhard (1871-1938) Druckereibesitzer. Gründer u. Verleger des Arheilger Anzeigers. Opfer des Nationalsozialismus. 
Bachstraße ;E 8 ;;Stadtteil Arheilgen,Benennung nach dem Ruthsenbach 
Bernhardstraße ;E 8 ;;Stadtteil Arheilgen,Benennung nach Bernhard Benz (1811-1900) ,Besitzer der Schleifmühle 
Beyerweg ;E 8 ;12. Dez 73;Stadtteil Arheilgen,benannt nach Prof. Adolf Beyer (18691953), Darmstädter Maler 
Darmstädter Straße ;E 8 ;26. Jun 53;Stadtteil Arheilgen, alte Durchgangsstrasse durch Arheilgen. 
Emil-Voltz-Straße ;E 8 ;26. Jun 53;Stadtteil Arheilgen, benannt nach Emil Voltz (1881-1949), Arzt. 
Falkenstraße ;E 8 ;02. Jul 53;Stadtteil Arheilgen,Benennung nach der sozialistischen Jugendorganisation 'Die Falken' Vorschlag Ortsverwaltung Arheilgen 
Feuerbachstraße ;E 8 ;25. Sep 53;Stadtteil Arheilgen, benannt nach Anselm Feuerbach (1829-1880),Maler (Landschaftsbilder u. Darstellungen 
Fuchsstraße ;E 8 ;;Stadtteil Arheilgen,Benennung nach Georg Friedrich Fuchs(1840-1907), ehem. Pfarrer in Arheilgen. 
Gäulsgasse ;E 8 ;;Stadtteil Arheilgen,Benennung, da diese Gasse zur ehem. Pferdetränke am Ruthsenbach führte. 
Geißengasse ;E 8 ;;Stadtteil Arheilgen,so benannt, da früher Ziegen durch diese Gasse getrieben wurden. 
Georg-Spengler-Straße ;E 8 ;26. Jun 53;Stadtteil Arheilgen,Benennung nach Georg Spengler (1884-1940), Darmstädter SPD-Politiker. 
Glaeserweg ;E 8 ;12. Dez 73;Stadtteil Arheilgen, benannt nach Gotthelf Leberecht Glaeser (1784-1851), Darmstädter Portrait- u Hofmaler. 
Gute-Garten-Straße ;E 8 ;26. Jun 53;Stadtteil Arheilgen, Gewannbezeichnung nach dem Gartengelände das sich früher hier befand. 
Hirschstraße ;E 8 ;Benennung um 1918 ;Stadtteil Arheilgen, Benennung nach Heinrich Hirsch (1854-1932), Direktor der Spar- u. Darlehenskasse Arheilgen. 
Hofgasse ;E 8 ;;Stadtteil Arheilgen, Benennung nach dem Oberlehrer Hof, dem ersten Lehrer der 1880 hinter dem Gasthaus zum Löwen errichteten Schule. 
Im Göhren ;E 8 ;24. Apr 50;Stadtteil Arheilgen,Benennung nach dem 'Gehren', einem keilförmig zulaufenden Stück Land. 
Im Leimen ;E 8 ;23. Aug 57;Stadtteil Arheilgen, Gewannbezeichnung,der mittelalterliche Ausdruck 'Leime' wandelte sich zum heutigen Wort 'Lehm'. 
Kleine Brückenstraße ;E 8 ;25. Sep 53;Stadtteil Arheilgen,benannt nach den Brücken über den Ruthsenbach. 
Kleine Obergasse ;E 8 ;26. Jun 53;Stadtteil Arheilgen, führte früher zum 'Oberdorf' von Arheilgen. 
Kollwitzweg ;E 8 ;30. Jan 63;Stadtteil Arheilgen, benannt nach Käthe Kollwitz (18671945), Bildhauerin und Graphikerin 
Lutherstraße ;E 8 ;;Stadtteil Arheilgen, benannt nach Martin Luther(18401897), Schreinermeister, er siedelte sich mit seiner Familie als erster an dieser Straße an. 
Margarethenstraße ;E 8 ;;Stadtteil Arheilgen, benannt nach Margarete Benz, die von 1824 bis 1898 in Arheilgen lebte. 
Meidnerweg ;E 8 ;01. Feb 78;Stadtteil Arheilgen,benannt nach Ludwig Meidner (18841966), Maler u. Dichter,beigesetzt auf dem jüdischen Friedhof in Bessungen. 
Nach dem Wieschen ;E 8 ;25. Sep 53;Stadtteil Arheilgen,dieser Pfad führte einmal zu einem Wiesengelände. 
Ritterstraße ;E 8 ;;Stadtteil Arheilgen, benannt nach einem der ersten Anwohner. 
Messeler Straße ;E 8-10 ;26. Jun 53;Stadtteil Arheilgen,benannt nach der nordöstl. von Darmstadt gelegenen Gemeinde Messel. 
Am Bruderhaus ;E 8-9 ;26. Jun 53;Stadtteil Arheilgen, Gewannbezeichnung nach einer Sanddüne 
Andresweg ;E 8-9 ;10. Nov 04;Benannt nach dem Heimatforscher Wilhelm Andres (19082004),Träger der Verdienstmedaille des Verdienstordens der Bundesrepublik Deutschland. 
Arheilger Woogstraße ;E 8-9 ;19. Okt 59;Stadtteil Arheilgen,Benennung nach dem verschwundenen 'Unteren Woog' an der ehem. Rückenmühle 
Bornstraße ;E 8-9 ;;Stadtteil Arheilgen,Benennung nach Brunnen mit besonders gutem Trinkwasser, die es früher im Niederungsgebiet am Ruthsenbach gab 
Jakob-Jung-Straße ;E 8-9 ;26. Jun 53;Stadtteil Arheilgen, benannt nach Jakob Jung (18671943), Bürgermeister in Arheilgen 
Am Schlägelsgraben ;E 9 ;24. Mrz 56;Stadtteil Arheilgen, die Benennung beruht auf einem alten Arheilger Familiennamen. 
Bachgauweg ;E 9 ;24. Mai 72;Stadtteil Arheilgen,benannt nach der Lage am Wasser. 
Elsterweg ;E 9 ;24. Mrz 56;Stadtteil Arheilgen,Benennung nach dem Rabenvogel. 
Fasanenweg ;E 9 ;24. Mrz 56;Stadtteil Arheilgen,Benennung nach dem Hühnervogel. 
Lerchenweg ;E 9 ;26. Jun 53;Stadtteil Arheilgen, benannt nach dem Singvogel Lerche. 
Helmut-Fuchs-Weg ;E-F 7-8 ;27. Feb 02;Stadtteil Arheilgen, benannt nach Helmut Fuchs ( 19222000), ehem. Arheilger Bezirksverwalter 
Birngartenweg ;E-F 8 ;29. Okt 59;Stadtteil Arheilgen, benannt nach einer alten Gewannbezeichnung 
Gerhart-Hauptmann-Straße ;E-F 8 ;26. Juni 1953 (12. Februar 1952) ;Stadtteil Arheilgen, Gerhart Hauptmann (1862-1946), Dichter u. Bildhauer, Mitglied der preußischen Dichterakademie. 
Hans-Sachs-Weg ;E-F 8 ;21. Jul 76;Stadtteil Arheilgen, benannt nach Hans Sachs (14941576), Dichter 
Im Erlich ;E-F 8 ;29. Oktober 1959 12. Dezember 1973 ;Stadtteil Arheilgen,benannt nach einer Gewannbezeichnung , die sich auf Erlengebüsche zurückführen lässt. 
Menzelweg ;E-F 8 ;01. Feb 78;Stadtteil Arheilgen,benannt nach Adolf von Wenzel (1815 1905), Maler und Zeichner 
Brücherweg ;E-F 9 ;20. Sep 00;Benannt nach Wilhelm Brücher III (1886-1952), Erster Arheilger Bademeister 
Parkstraße;E-F 9-10 ;;Stadtteil Kranichstein, die Straße führt zum Kranichsteiner Wildpark 
Jägertorstraße ;E-G 9 ;26. Jun 53;Stadtteil Arheilgen, Stadtteil Kranichstein,Benennung nach dem 'Jägertor', das früher dort stand. Es gehörte zum zweiten Ring der Stadtbefestigung. 
Dieburger Straße ;E-J 8-14 ;Benennung 1824 ;Benennung nach der Stadt Dieburg, östl. von Darmstadt 
Am Lindgraben ;F 10 ;;Stadtteil Kranichstein, Gewannbezeichnung nach einer Linde am Flurgraben. 
An der Schleifmühle ;F 10 ;30. Jan 63;Stadtteil Kranichstein, Gewannbezeichnung nach einer Mühle am Ruthsenbach 
Blumenthalstraße ;F 10 ;22. Dez 82;Stadtteil Kranichstein,benannt nach Heinrich Blumenthal (1824-1901), Fabrikant, Stadtverordneter in Darmstadt 
Dernburgweg ;F 10 ;22. Dez 82;Stadtteil Kranichstein,benannt nach Bernhard Dernburg (1865-1937), Bankier, dt. Politiker 
Esselbornstraße ;F 10 ;28. Jan 81;Stadtteil Kranichstein, benannt nach Dr Karl Esselborn (1879-1940), Landesbibliotheksdirektor 
Heinrich-Fulda-Weg ;F 10 ;22. Dez 82;Stadtteil Kranichstein, benannt nach Dr. Heinrich Hugo Fulda (1860-1943), Rechtsanwalt, Ratsmitglied in Darmstadt u. Hessischer Innenminister 
Heinrich-von-Brentano-Anlage ;F 10 ;22. Mrz 72;Benannt nach Heinrich von Brentano di Trimezzo (20.06.1904-14.11.1964), Bundesminister des Auswärtigen, Mitbegründer der CDU, in Darmstadt verstorben. 
Jaupstraße ;F 10 ;22. Dez 82;Stadtteil Kranichstein, benannt nach Dr. Heinrich Karl Jaup (1781-1860), Mitglied des Staatsministeriums in Darmstadt, hess. Ministerpräsident. 
Arnimstraße ;F 8 ;30. Jan 63;Stadtteil Arheilgen, benannt nach Achim von Arnim (1781-1831) Dichter 
Brentanostraße ;F 8 ;30. Jan 63;Stadtteil Arheilgen,benannt nach Clemens von Brentano (1778-1842), bedeutender Dichter der Romantik. 
Brüder-Grimm-Straße ;F 8 ;30. Jan 63;Stadtteil Arheilgen, benannt nach den Brüdern Grimm: Wilhelm Karl (1786-1859) und Jakob Ludwig Karl (17851863)], Literaturwissenschaftler 
Dürerstraße ;F 8 ;26. Juni 1953 12. Dezember 1973 ;Stadtteil Arheilgen,benannt nach Albrecht Dürer (14711528), Maler u. Graphiker, bedeutender Meister des Kupferstichs. 
Fontanestraße ;F 8 ;30. Jan 63;Stadtteil Arheilgen, benannt nach Henri Theodor Fontane (1819-1898), Dichter u. Schriftsteller 
Gehmerweg ;F 8 ;;Stadtteil Arheilgen,benannt nach einem alten Weg Richtung Gehaborner Hof. 
Grimmelshausenstraße ;F 8 ;30. Jan 63;Stadtteil Arheilgen, benannt nach Hans Jakob Christoffel von Grimmelshausen (1620-1676), Dichter 
Hebbelstraße ;F 8 ;30. Jan 63;Stadtteil Arheilgen, benannt nach Christian Friedrich Hebbel (1813-1863), Dichter, einer der bedeutendsten deutschen Dramatiker des 19. Jahrhunderts. 
Holbeinstraße ;F 8 ;23. Dez 53;Stadtteil Arheilgen,benannt nach Hans Holbein der Jüngere (1497-1543), Maler der 'Holbeinmadonna', die sich im Darmstädter Schloßmuseum befindet. 
Im Fiedlersee ;F 8 ;26. Juni 1953 24. Mai 1972 ;Stadtteil Arheilgen, benannt nach einer Gewannbezeichnung, die sich auf einen in diesem Gebiet liegenden See bezieht, dessen Besitzer Fiedler hieß. 
Kafkastraße ;F 8 ;30. Jan 63;Stadtteil Arheilgen,benannt nach Franz Kafka (18831924), einer der wichtigsten Schriftsteller des 20. Jahrhunderts. 
Kleiststraße ;F 8 ;30. Jan 63;Stadtteil Arheilgen, benannt nach Heinrich von Kleist (1777-1811), Schriftsteller, Journalist u. Dichter. 
Klopstockstraße ;F 8 ;30. Jan 63;Stadtteil Arheilgen, benannt nach Friedrich Gottlieb Klopstock (1724-1803), Dichter 
Kuhnweg ;F 8 ;21. Jul 76;Stadtteil Arheilgen, benannt nach Richard Kuhn (19001967), Chemiker,Nobelpreisträger. 
Raabestraße ;F 8 ;30. Jan 63;Stadtteil Arheilgen, benannt nach Wilhelm Raabe (18311910), Schriftsteller. 
Ricarda-Huch-Straße ;F 8 ;30. Januar 1963 22. Juni 1966 ;Stadtteil Arheilgen, benannt nach Dr.phil. Ricarda Huch (1864-1947), Dichterin, eine der ersten Frauen, die den Doktorgrad erwarben. 
Grillparzerstraße ;F 8-9 ;15. Jan 60;Stadtteil Arheilgen, benannt nach Franz Grillparzer (17911872), österreichischer Dichter 
Maulbeerallee ;F 8-9 ;11. Okt 61;Stadtteil Arheilgen, benannt nach den dortigen Maulbeerbäumen. 
Auf der Hardt ;F 9 ;;Stadtteil Arheilgen, Benennung nach der Hardtsiedlung 
Carsonweg ;F 9 ;03. Aug 88;Stadtteil Kranichstein, benannt nach Louise Rachel Carson (1907-1964),amerikanische Biologin u. Schriftstellerin. 
Elsa-Brändström-Weg ;F 9 ;16. Januar 1991 09. September 1992 ;Stadtteil Kranichstein,benannt nach Elsa Brändström (1888-1948),schwedische Philanthropin, Deligierte des schwedischen Roten Kreuzes. 
Gropiusweg ;F 9 ;01. Feb 78;Stadtteil Kranichstein, benannt nach Walter Gropius (1883-1969), Architekt,Gründer des 'Bauhaus' in Weimar. 
Hammelstrift ;F 9 ;18. Apr 57;Stadtteil Kranichstein,Benennung nach dem Grenzweg, auf dem die Schafsherde des Landgrafen vom 'Schafhof' des Hofguts zur Weide getrieben wurde. 
Im Hilsbruch ;F 9 ;;Stadtteil Arheilgen,der Name 'Bruch' bezeichnet ein feuchtes Gelände. 
Kornweg ;F 9 ;11. Okt 61;Stadtteil Arheilgen, dieser Weg führte zu den Getreideäckern, die es früher in diesem Gebiet gab. 
Lenauweg ;F 9 ;06. Jan 65;Stadtteil Arheilgen, Benannt nach Nikolaus Lenau (18021850) eigentlich Nikolaus Niemsch, Edler von Strehlenau, österreichischer Dichter u. Lyriker. 
Gruberstraße ;F 9-10 ;03. Mai 67;Stadtteil Kranichstein,benannt nach Prof. Dr.-Ing. Karl Gruber (1885-1966), Professor der Baukunst, Pfofessor an der TH Darmstadt. 
Alter Wixhäuser Weg ;F-E 8 ;;Stadtteil Arheilgen,Benennung nach der alten Wegverbindung nach Wixhausen 
